Type,Strategies,Persona,Weight
Willing to try,talking to a professional,persona3,2
Willing to try,talking to family members,persona3,0
Willing to try,talking to friends,persona3,0
Willing to try,using drugs,persona3,2
Willing to try,volunteering,persona3,2
Willing to try,watching movies/tv shows,persona3,0
Willing to try,yoga,persona3,2
Not working,cooking,persona4,0
Not working,crying,persona4,2
Not working,drawing,persona4,0
Not working,drinking alcohol,persona4,0
Not working,eating,persona4,2
Not working,eating junk food,persona4,2
Not working,gardening,persona4,0
Not working,going to the gym,persona4,0
Not working,hanging out with family members ,persona4,0
Not working,hanging out with friends,persona4,0
Not working,journaling,persona4,1
Not working,learning a new skill,persona4,0
Not working,listening to music,persona4,0
Not working,meditation,persona4,2
Not working,outdoor activities,persona4,1
Not working,planning,persona4,0
Not working,planning/going on trips,persona4,0
Not working,playing video games,persona4,1
Not working,reading a self-help book,persona4,2
Not working,reading books,persona4,0
Not working,reading/thinking affirmations,persona4,0
Not working,running,persona4,1
Not working,shopping/window shopping,persona4,2
Not working,sleeping,persona4,1
Not working,spending time on social media,persona4,3
Not working,talking to a professional,persona4,0
Not working,talking to family members,persona4,0
Not working,talking to friends,persona4,1
Not working,using drugs,persona4,0
Not working,volunteering,persona4,0
Not working,watching movies/tv shows,persona4,0
Not working,yoga,persona4,1
Works for me,cooking,persona4,2
Works for me,crying,persona4,2
Works for me,drawing,persona4,1
Works for me,drinking alcohol,persona4,0
Works for me,eating,persona4,2
Works for me,eating junk food,persona4,0
Works for me,gardening,persona4,1
Works for me,going to the gym,persona4,1
Works for me,hanging out with family members ,persona4,0
Works for me,hanging out with friends,persona4,3
Works for me,journaling,persona4,2
Works for me,learning a new skill,persona4,2
Works for me,listening to music,persona4,5
Works for me,meditation,persona4,0
Works for me,outdoor activities,persona4,3
Works for me,planning,persona4,3
Works for me,planning/going on trips,persona4,1
Works for me,playing video games,persona4,0
Works for me,reading a self-help book,persona4,0
Works for me,reading books,persona4,2
Works for me,reading/thinking affirmations,persona4,0
Works for me,running,persona4,4
Works for me,shopping/window shopping,persona4,0
Works for me,sleeping,persona4,2
Works for me,spending time on social media,persona4,1
Works for me,talking to a professional,persona4,2
Works for me,talking to family members,persona4,5
Works for me,talking to friends,persona4,2
Works for me,using drugs,persona4,1
Works for me,volunteering,persona4,2
Works for me,watching movies/tv shows,persona4,3
Works for me,yoga,persona4,1
Willing to try,cooking,persona4,3
Willing to try,crying,persona4,1
Willing to try,drawing,persona4,1
Willing to try,drinking alcohol,persona4,0
Willing to try,eating,persona4,0
Willing to try,eating junk food,persona4,0
Willing to try,gardening,persona4,2
Willing to try,going to the gym,persona4,1
Willing to try,hanging out with family members ,persona4,0
Willing to try,hanging out with friends,persona4,0
Willing to try,journaling,persona4,1
Willing to try,learning a new skill,persona4,2
Willing to try,listening to music,persona4,0
Willing to try,meditation,persona4,2
Willing to try,outdoor activities,persona4,1
Willing to try,planning,persona4,1
Willing to try,planning/going on trips,persona4,1
Willing to try,playing video games,persona4,1
Willing to try,reading a self-help book,persona4,1
Willing to try,reading books,persona4,1
Willing to try,reading/thinking affirmations,persona4,2
Willing to try,running,persona4,0
Willing to try,shopping/window shopping,persona4,0
Willing to try,sleeping,persona4,0
Willing to try,spending time on social media,persona4,0
Willing to try,talking to a professional,persona4,2
Willing to try,talking to family members,persona4,0
Willing to try,talking to friends,persona4,0
Willing to try,using drugs,persona4,0
Willing to try,volunteering,persona4,1
Willing to try,watching movies/tv shows,persona4,0
Willing to try,yoga,persona4,1
